time,state,ATR,5_min_high,5_min_low,5_min_range,relative_vol,OR-ATR,5_min_polarity,entry_price,TP,SL,PnL,cum_PnL
2021-10-05 16:30:00,LONG_FULL_SL_HIT,280.2164285714286,14578.4,14520.9,57.5,1.0229017007429235,0.2051985327667644,Bullish,14583.4,14611.421642857142,14569.389178571428,-100.00000000000364,-100.0
2021-10-06 16:30:00,LONG_TRAIL_SL_HIT,289.9485714285715,14581.3,14527.4,53.89999999999964,1.0109446652399876,0.1858950355728096,Bullish,14596.5,14654.489714285715,14596.5,100.00000000000172,-0.0
2021-10-07 16:30:00,LONG_FULL_SL_HIT,302.2521428571429,14949.7,14874.7,75.0,0.9765453212802346,0.248137198601924,Bullish,14953.2,14983.425214285717,14938.087392857144,-99.9999999999996,-100.0
2021-10-08 16:30:00,SHORT_FULL_SL_HIT,301.34500000000014,14957.1,14884.5,72.60000000000036,1.0306328339957198,0.240919875889762,Bearish,14870.1,14839.9655,14885.16725,-100.00000000000033,-200.0
2021-10-11 16:30:00,LONG_FULL_TP_HIT,278.3428571428572,14800.85,14737.5,63.35000000000037,0.9805147058823528,0.2275970026688577,Bullish,14809.6,14865.26857142857,14809.6,299.99999999999454,100.0
2021-10-12 16:30:00,SHORT_TRAIL_SL_HIT,279.7535714285715,14793.5,14720.5,73.0,1.0265921513234662,0.2609439430110684,Bullish,14706.25,14650.299285714284,14706.25,100.0000000000006,200.0
2021-10-13 16:30:00,LONG_FULL_SL_HIT,272.7178571428572,14783.4,14734.65,48.75,1.028995279838166,0.1787561713440106,Bullish,14788.65,14815.921785714285,14775.014107142855,-99.99999999999814,100.0
2021-10-14 16:30:00,LONG_FULL_TP_HIT,274.5750000000001,14942.4,14910.15,32.25,0.9576157322584584,0.1174542474733678,Bearish,14946.65,15001.565,14946.65,300.00000000000466,400.0
2021-10-15 16:30:00,LONG_FULL_SL_HIT,284.857142857143,15115.6,15066.35,49.25,0.933619105939988,0.1728936810431293,Bearish,15118.1,15146.585714285717,15103.857142857143,-100.00000000000068,300.0
2021-10-18 16:30:00,SHORT_FULL_SL_HIT,271.1607142857144,15105.95,15075.7,30.25,0.9987085665088248,0.1115574580177806,Bearish,15070.7,15043.58392857143,15084.258035714289,-100.0000000000038,200.0
