time,open,high,low,close,tick_volume,spread,real_volume
2018-02-09,6327.1,6454.6,6163.8,6424.72,483981,0,0
2018-02-12,6435.1,6566.7,6413.6,6525.92,215381,0,0
2018-02-13,6527.52,6568.9,6470.2,6559.92,165001,0,0
2018-02-14,6558.8,6691.2,6454.3,6678.92,353681,0,0
2018-02-15,6678.8,6826.1,6669.3,6818.92,173481,0,0
2018-02-16,6817.1,6858.9,6761.4,6780.22,158121,0,0
2018-02-19,6788.8,6818.6,6757.7,6784.62,117621,0,0
2018-02-20,6781.6,6842.9,6722.7,6790.72,231281,0,0
2018-02-21,6788.8,6884.4,6740.8,6752.42,250821,0,0
2018-02-22,6753.1,6830.4,6694.3,6794.42,230881,0,0
2018-02-23,6792.8,6913.1,6781.9,6902.22,152981,0,0
2018-02-26,6922.8,7006.6,6889.4,7002.42,154781,0,0
2018-02-27,7002.3,7007.9,6903.6,6913.82,120121,0,0
2018-02-28,6913.3,6969.6,6857.2,6879.22,190721,0,0
2018-03-01,6879.6,6897.7,6688.3,6765.22,304421,0,0
2018-03-02,6765.1,6822.4,6645.6,6809.92,308781,0,0
2018-03-05,6792.8,6903.7,6741.9,6879.22,237181,0,0
2018-03-06,6879.8,6938.6,6871.4,6909.22,104981,0,0
2018-03-07,6849.3,6936.1,6797.9,6923.62,202081,0,0
2018-03-08,6924.3,6976.3,6913.4,6971.02,79081,0,0
2018-03-09,6970.3,7102.9,6962.4,7097.72,153581,0,0
2018-03-12,7098.67,7158.2,7098.67,7134.72,83011,0,0
2018-03-13,7136.3,7187.7,7024.1,7043.02,233921,0,0
2018-03-14,7055.92,7120.8,7036.3,7058.32,166601,0,0
2018-03-15,7060.8,7099.2,7026.8,7076.22,129381,0,0
2018-03-16,7075.1,7083.7,7032.4,7044.42,71921,0,0
2018-03-19,7041.42,7041.42,6820.4,6913.72,314341,0,0
2018-03-20,6908.92,6927.2,6862.4,6917.52,121001,0,0
2018-03-21,6912.17,6949.9,6841.9,6882.17,186001,0,0
2018-03-22,6882.6,6914.2,6685.42,6694.42,269381,0,0
2018-03-23,6691.92,6720.2,6518.67,6547.42,258561,0,0
2018-03-26,6545.8,6777.97,6524.4,6772.67,280271,0,0
2018-03-27,6773.92,6848.25,6489.17,6550.42,494661,0,0
2018-03-28,6549.42,6581.25,6420.17,6481.67,254411,0,0
2018-03-29,6488.17,6652.42,6443.42,6562.67,343501,0,0
2018-04-02,6557.17,6586.92,6326.17,6403.17,367501,0,0
2018-04-03,6404.92,6495.7,6350.67,6465.3,229681,0,0
2018-04-04,6465.17,6590.67,6305.92,6580.67,454001,0,0
2018-04-05,6582.67,6653.42,6558.67,6605.17,167001,0,0
2018-04-06,6604.92,6610.17,6407.92,6455.42,255001,0,0
2018-04-09,6462.3,6617.42,6460.17,6488.67,288131,0,0
2018-04-10,6488.17,6650.67,6470.92,6618.67,229001,0,0
2018-04-11,6625.67,6662.42,6550.17,6593.42,192251,0,0
2018-04-12,6595.17,6693.17,6589.17,6672.42,130751,0,0
2018-04-13,6667.17,6712.17,6605.92,6641.42,186751,0,0
2018-04-16,6690.3,6718.67,6638.62,6700.42,149981,0,0
2018-04-17,6701.92,6843.67,6697.67,6823.67,170251,0,0
2018-04-18,6816.17,6865.92,6796.17,6842.42,113251,0,0
2018-04-19,6854.92,6865.42,6754.42,6776.42,143501,0,0
2018-04-20,6776.92,6789.42,6645.72,6674.92,185401,0,0
2018-04-23,6707.42,6727.17,6616.17,6657.92,172501,0,0
2018-04-24,6658.17,6716.94,6466.69,6524.69,367021,0,0
2018-04-25,6523.44,6575.44,6428.69,6570.44,246501,0,0
2018-04-26,6586.94,6747.69,6558.69,6741.19,223751,0,0
2018-04-27,6744.44,6771.19,6622.19,6669.94,223501,0,0
2018-04-30,6667.57,6717.19,6594.94,6600.44,177371,0,0
2018-05-01,6607.54,6738.94,6578.19,6712.94,216101,0,0
2018-05-02,6712.19,6728.44,6624.44,6624.44,120251,0,0
2018-05-03,6629.69,6669.19,6537.19,6665.19,228501,0,0
2018-05-04,6665.19,6787.69,6609.94,6777.44,243251,0,0
2018-05-07,6775.69,6850.44,6771.44,6816.69,117001,0,0
2018-05-08,6817.19,6836.69,6770.44,6820.94,128751,0,0
2018-05-09,6820.19,6899.94,6807.69,6895.44,109251,0,0
2018-05-10,6895.19,6970.44,6887.94,6951.44,108751,0,0
2018-05-11,6948.82,6978.69,6927.94,6957.19,93131,0,0
2018-05-14,6967.69,7012.94,6955.19,6967.44,115251,0,0
2018-05-15,6965.94,6975.69,6853.69,6886.94,165001,0,0
2018-05-16,6894.69,6952.44,6874.94,6933.69,116001,0,0
2018-05-17,6934.44,6960.94,6874.44,6902.69,141251,0,0
2018-05-18,6907.82,6934.94,6861.44,6870.69,109871,0,0
2018-05-21,6927.19,6955.94,6880.94,6910.44,133251,0,0
2018-05-22,6911.94,6953.94,6889.44,6904.94,122001,0,0
2018-05-23,6904.94,6960.94,6829.19,6955.94,212501,0,0
